Operator,MCC,MNC
PARTNER COMMUNICATIONS COMPANY LTD,425,01
CELLCOM ISRAEL LTD,425,02
PELEPHONE COMMUNICATIONS LTD,425,03
Jawwal,425,05
Ooredoo Palestine,425,06
HOT MOBILE LTD,425,07
GOLAN TELECOM LTD,425,08
WECOM MOBILE LTD,425,09
MERKAZIYA LTD,425,11
WIDELY MOBILE LTD,425,12
PELEPHONE COMMUNICATIONS LTD,425,14
CELLCOM ISRAEL LTD,425,15
RAMI LEVY HASHIKME MARKETING COMMUNICATION LTD,425,16
CELLACT COMMUNICATION LTD,425,18
TELZAR 019 INTERNATIONAL TELECOMMUNICATION LTD,425,19
"BEZEQ, THE ISRAELI TELECOMMUNICATIONS CORP. LTD",425,20
XPHONE 018 LTD,425,21
MASKYOO TELEPHONIA LTD,425,22
BEEZZ COMMUNICATION SOLUTIONS LTD,425,23
PARTNER COMMUNICATIONS COMPANY LTD,425,24
IMOD,425,25
LB ANNATEL LTD,425,26
PAYCALL TECHNOLOGIES LTD,425,27
PHI NETWORKS LIMITED PARTNERSHIP,425,28
C.M.G. NETWORK LIMITED PARTNERSHIP,425,29
